t			Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	L	
3/7/2025 10:34:34 AM	19356	281	500	72.0	10.0	3.05	20.6	20.6	20.6	27.5	6.9	0.100
3/7/2025 10:34:35 AM	19419	281	500	72.0	10.0	3.07	20.6	20.6	20.6	27.5	6.9	0.100
3/7/2025 10:34:33 AM	19612	280	500	71.8	10.0	3.04	20.5	20.6	20.6	27.5	7.0	0.100
3/7/2025 10:34:36 AM	19673	281	500	72.2	10.0	3.16	20.6	20.6	20.6	27.5	6.9	0.100
3/7/2025 10:34:38 AM	19929	281	500	72.0	10.0	3.14	20.6	20.6	20.6	27.5	6.9	0.100
3/7/2025 10:34:39 AM	19930	280	500	71.8	10.0	3.10	20.5	20.6	20.6	27.5	7.0	0.100
3/7/2025 10:34:40 AM	19994	280	500	71.8	10.0	3.19	20.5	20.6	20.6	27.5	7.0	0.100
3/7/2025 10:34:37 AM	20119	281	500	72.0	10.0	3.15	20.6	20.6	20.6	27.5	6.9	0.100
3/7/2025 10:34:41 AM	20757	281	500	72.0	10.0	3.28	20.6	20.6	20.6	27.5	6.9	0.100
3/7/2025 10:34:42 AM	20821	280	500	71.8	10.0	3.26	20.5	20.6	20.6	27.5	7.0	0.100
