t			Re	Nu	q	alpha	P	v	T1	T2	T3	T4	deltaT	
2/28/2025 10:07:04 AM	-167	39	499	10.5	10.0	-0.02	23.3	28.2	23.0	70.9	47.5
2/28/2025 10:07:03 AM	-167	39	499	10.5	10.0	-0.02	23.4	28.2	23.0	70.9	47.5
2/28/2025 10:07:10 AM	-167	39	499	10.5	10.0	-0.02	23.4	28.2	23.0	70.9	47.5
2/28/2025 10:07:07 AM	-111	39	499	10.5	10.0	-0.02	23.4	28.2	23.0	70.9	47.5
2/28/2025 10:07:09 AM	-111	39	510	10.7	10.2	-0.02	23.4	28.2	23.0	70.9	47.5
2/28/2025 10:07:06 AM	-111	39	499	10.5	10.0	-0.02	23.4	28.2	23.0	70.9	47.5
2/28/2025 10:07:08 AM	-111	39	499	10.5	10.0	-0.02	23.4	28.2	23.0	70.9	47.5
2/28/2025 10:07:12 AM	-111	39	499	10.5	10.0	-0.02	23.4	28.2	23.0	70.9	47.5
2/28/2025 10:07:13 AM	-111	39	499	10.5	10.0	-0.03	23.4	28.2	23.0	70.9	47.5
2/28/2025 10:07:05 AM	-111	39	510	10.7	10.2	-0.02	23.4	28.2	23.0	70.9	47.5
2/28/2025 10:07:11 AM	-111	39	499	10.5	10.0	-0.02	23.4	28.2	23.0	70.9	47.5
